City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Itoman,JP,35.7333,140.8333,79.2,97,100,25.88,heavy intensity rain
272,Labuhan,ID,-8.5833,116.1167,77.81,77,37,5.01,scattered clouds
273,Elizabeth City,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
274,Lompoc,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
275,Slave Lake,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
276,Paris,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
277,Jiangyou,CN,30.3,109.4833,75.51,98,100,1.01,moderate rain
278,Makakilo City,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
279,Hope,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
280,Leeton,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
281,Georgetown,US,42.097,-79.2353,76.59,78,75,4.61,broken clouds
282,Abu Samrah,SY,35.3029,37.1841,77.2,74,0,9.57,clear sky
283,Sao Joao Da Barra,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
284,Zhigansk,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
285,Galesburg,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
286,La Plata,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
287,Huayang,CN,30.3,109.4833,75.51,98,100,1.01,moderate rain
288,Port Shepstone,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
289,Georgiyevskoye,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
290,Hambantota,LK,5.9485,80.5353,77.76,87,100,14.79,overcast clouds
291,Turan,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
292,Gat,LY,30.3333,10.85,91.27,11,0,7.78,clear sky
293,Margate,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
294,Sabha,TR,37.2687,28.2167,73.92,59,0,5.88,clear sky
295,Nhulunbuy,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
296,Kongolo,CN,33.2288,105.0179,62.06,94,100,4.45,overcast clouds
297,Madang,PG,-2.5744,150.7967,83.08,75,75,13.24,moderate rain
298,Caravelas,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
299,Kufstein,AT,47.5833,12.1667,62.24,93,100,4.25,light rain
300,Inuvik,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
301,Maghama,MR,20.931,-17.0347,68.95,91,3,12.44,clear sky
302,Valdemarpils,LV,57.3707,22.5919,58.42,97,70,6.8,broken clouds
303,Havoysund,NO,62.5833,6.1333,66.25,88,100,4.61,overcast clouds
304,Abu Kamal,SY,34.4506,40.9171,89.92,21,0,4.81,clear sky
305,Grevenbroich,DE,51.8707,9.0914,62.2,91,47,9.31,scattered clouds
306,Dzaoudzi,YT,-12.7887,45.2699,69.69,73,0,4.61,clear sky
307,Hihifo,TO,-21.2,-175.2,70.11,58,36,7.74,scattered clouds
308,Omboue,GA,-0.7193,8.7815,75.06,88,100,17.92,light rain
309,Bur Gabo,SO,4.1213,43.8894,69.96,71,100,15.68,overcast clouds
310,Te Anau,NZ,-46.6,168.3333,38.8,87,100,6.69,overcast clouds
311,Beringovskiy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
312,Pevek,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
313,Los Llanos De Aridane,ES,42.8805,-8.5457,61.16,86,20,3.44,few clouds
314,Naron,ES,42.8805,-8.5457,61.16,86,20,3.44,few clouds
315,Te Karaka,NZ,-46.6,168.3333,38.8,87,100,6.69,overcast clouds
316,Nguiu,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
317,Columbus,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
318,Waw,PH,7.9986,124.2928,69.66,80,100,2.66,light rain
319,Priponesti,RO,46.0833,27.4333,61,60,0,1.81,clear sky
320,Guerrero Negro,MX,23.45,-110.2167,89.4,73,74,8.55,broken clouds
321,Fairbanks,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
322,Paharpur,PK,28.5833,65.4167,83.44,13,17,3.38,few clouds
323,Hermiston,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
324,Tabora,TZ,-5.6333,32.7667,68.49,45,60,8.52,broken clouds
325,Tungor,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
326,Asau,RO,46.4333,26.4,58.95,85,1,3.83,clear sky
327,Lebu,CL,-53.15,-70.9167,35.71,75,0,23.02,clear sky
