City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Sabha,TR,73.92,clear sky,37.2687,28.2167,Hotel Babadag
295,Nhulunbuy,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
296,Kongolo,CN,62.06,overcast clouds,33.2288,105.0179,
297,Madang,PG,83.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
298,Caravelas,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
299,Kufstein,AT,62.24,light rain,47.5833,12.1667,Hotel Andreas Hofer
301,Maghama,MR,68.95,clear sky,20.931,-17.0347,El Medina
302,Valdemarpils,LV,58.42,broken clouds,57.3707,22.5919,Guest House Laumas
303,Havoysund,NO,66.25,overcast clouds,62.5833,6.1333,Flem Cabins
304,Abu Kamal,SY,89.92,clear sky,34.4506,40.9171,محطة التلفاز
305,Grevenbroich,DE,62.2,scattered clouds,51.8707,9.0914,H&E Apartments
306,Dzaoudzi,YT,69.69,clear sky,-12.7887,45.2699,Le Rocher
307,Hihifo,TO,70.11,scattered clouds,-21.2,-175.2,Keleti Beach Resort
308,Omboue,GA,75.06,light rain,-0.7193,8.7815,Fengshui Residence
309,Bur Gabo,SO,69.96,overcast clouds,4.1213,43.8894,Banjanay Hotel
311,Beringovskiy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
312,Pevek,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
313,Los Llanos De Aridane,ES,61.16,few clouds,42.8805,-8.5457,Hotel Cidade de Compostela
314,Naron,ES,61.16,few clouds,42.8805,-8.5457,Hotel Cidade de Compostela
316,Nguiu,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
318,Waw,PH,69.66,light rain,7.9986,124.2928,Derogongan Residence
319,Priponesti,RO,61.0,clear sky,46.0833,27.4333,Iosip Mircea & Nicoleta Hustiu
320,Guerrero Negro,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
322,Paharpur,PK,83.44,few clouds,28.5833,65.4167,Dil Aram Bangla
324,Tabora,TZ,68.49,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
325,Tungor,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
326,Asau,RO,58.95,clear sky,46.4333,26.4,Casa Mika Ciobanus
328,Dondo,MZ,65.59,clear sky,-23.865,35.3833,Oceano
330,Sorong,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
331,Chinsali,ZM,56.61,clear sky,-15.3292,28.682,Grakas Lodge
332,Teahupoo,PF,74.5,clear sky,-23.1203,-134.9692,People ThankYou
333,Lashio,MM,68.77,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
334,Urumqi,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
335,Skjervoy,NO,66.25,overcast clouds,62.5833,6.1333,Flem Cabins
337,Broome,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
338,Ostuni,IT,77.59,clear sky,40.7276,17.5764,Hotel Relais La Sommità
339,Lagoa,PT,69.91,few clouds,38.5167,-28.7,Quinta da Meia Eira
340,Mechernich,DE,62.2,scattered clouds,51.8707,9.0914,H&E Apartments
342,Masvingo,ZW,55.4,clear sky,-20.0637,30.8277,River Side Lodge
343,Vilyuysk,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
344,Chateauroux,FR,57.2,clear sky,46.8167,1.7,Hôtel Kyriad Chateauroux
345,Trincomalee,LK,77.76,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
346,Marmarion,GR,83.52,clear sky,38.0484,24.3204,GIKAS APARTMENTS - ΓΚΙΚΑΣ Επιπλωμένα Διαμερίσματα
347,Malanje,AO,63.14,overcast clouds,-9.5402,16.341,Malanje Hotel
348,Gornozavodsk,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
349,Manokwari,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
350,Bilibino,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
351,Pozo Colorado,PY,75.04,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
353,Uruguaiana,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
357,Acapulco,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
358,Grand-Lahou,CI,75.31,broken clouds,4.95,-6.0833,la terrasse
359,Kokkola,FI,60.93,clear sky,63.8385,23.1307,Hotel Kokkola
360,Angoche,MZ,65.59,clear sky,-23.865,35.3833,Oceano
361,Yangjiang,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
362,Buncrana,US,79.86,clear sky,41.1415,-73.3579,The Westport Inn
363,Umzimvubu,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
364,Tezu,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
365,Katherine,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
366,Garm,TJ,73.99,clear sky,39.4952,67.6093,Salom Hostel
367,Meulaboh,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
369,Takoradi,GH,75.43,scattered clouds,4.8845,-1.7554,Raybow International Hotel
370,Saint-Francois,FR,58.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
371,Nizhneyansk,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
372,Leninogorsk,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
373,Aksarka,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
374,Katobu,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
375,Bengkalis,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
376,Vardo,NO,66.25,overcast clouds,62.5833,6.1333,Flem Cabins
377,Borzna,UA,58.71,clear sky,49.45,24.9333,Motel Mlyn - Nadia
378,Burnie,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
379,Yarkovo,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
380,Knysna,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
381,Berbera,SO,69.96,overcast clouds,4.1213,43.8894,Banjanay Hotel
383,Marsaxlokk,MT,83.08,clear sky,35.8419,14.5431,Water's Edge
384,Sambava,MG,68.41,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
385,Shu,KZ,76.23,clear sky,43.5983,73.7614,Shyngyzkhan
386,Huazolotitlan,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
387,Monrovia,LR,76.23,broken clouds,4.375,-7.7169,Screensaver
389,Kloulklubed,TL,64.36,scattered clouds,-8.9266,125.4092,Juvinal Martin
390,Sergeyevka,KZ,76.23,clear sky,43.5983,73.7614,Shyngyzkhan
391,Tytuvenai,LT,55.31,broken clouds,55.6,23.2,Svečių namai Tarp trijų ežerų
392,Lipin Bor,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
393,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
394,Mayumba,GA,75.06,light rain,-0.7193,8.7815,Fengshui Residence
398,Tura,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
399,Chernyshevskiy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
400,Piacabucu,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
401,Avera,PF,74.5,clear sky,-23.1203,-134.9692,People ThankYou
402,Ust-Tsilma,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
403,Bolotnoye,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
404,Vysokaya Gora,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
